 will to register next: {'params': {'mgs': 64.35706218440528, 'mrc': 0.040257641971354466, 'pd': 0.9656889632134243, 'pr': 0.12416757865329571}, 'target': 30.90909090909091}.
 will to register next: {'params': {'mgs': 27.71867967713984, 'mrc': 0.03306417111682671, 'pd': 0.9549098530107301, 'pr': 0.18636641917883162}, 'target': 20.0}.
 will to register next: {'params': {'mgs': 30.764902108778216, 'mrc': 0.08775051781407477, 'pd': 0.9802018449721681, 'pr': 0.22353775344217647}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 77.69527937149192, 'mrc': 0.04265635029558538, 'pd': 0.9800158198066997, 'pr': 0.1942790392171299}, 'target': 23.636363636363637}.
 will to register next: {'params': {'mgs': 27.86525851187441, 'mrc': 0.05382570530468385, 'pd': 0.9420234218370082, 'pr': 0.09913346393355195}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 79.05747161441364, 'mrc': 0.0756463025011652, 'pd': 0.9444627483940846, 'pr': 0.22999092199075621}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 58.76961883193939, 'mrc': 0.005309252044865764, 'pd': 0.9715708724920016, 'pr': 0.12564895049042885}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 3.538731421444865, 'mrc': 0.08715435674902793, 'pd': 0.9950161268011997, 'pr': 0.2114430866956618}, 'target': 30.90909090909091}.
 will to register next: {'params': {'mgs': 70.27664368111859, 'mrc': 0.0755325038465642, 'pd': 0.9022143913722309, 'pr': 0.26211270008559745}, 'target': 14.545454545454545}.
 will to register next: {'params': {'mgs': 58.843739716770955, 'mrc': 0.07078072255933797, 'pd': 0.9238449761336139, 'pr': 0.0671099759318302}, 'target': 23.636363636363637}.
 will to register next: {'params': {'mgs': 70.74903434479012, 'mrc': 0.06636178173022063, 'pd': 0.9823493141276634, 'pr': 0.21699274689475584}, 'target': 32.72727272727273}.
 will to register next: {'params': {'mgs': 79.05823648805448, 'mrc': 0.07194440776954858, 'pd': 0.9404242721106315, 'pr': 0.23042279902038432}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 62.365488546905425, 'mrc': 0.008672414545674, 'pd': 0.9685993756103404, 'pr': 0.06538841937981656}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 48.328185460819896, 'mrc': 0.025201892895736756, 'pd': 0.9043474762239663, 'pr': 0.12285539100007183}, 'target': 20.0}.
 will to register next: {'params': {'mgs': 64.39711137379881, 'mrc': 0.08115648511668586, 'pd': 0.9434140275723297, 'pr': 0.1327087123614934}, 'target': 12.727272727272727}.
