 will to register next: {'params': {'mgs': 40.27737173634925, 'mrc': 0.1459517849443321, 'pd': 0.9096711376637737, 'pr': 0.1824629614586631}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 76.60751450820003, 'mrc': 0.12333026963651249, 'pd': 0.915094308964011, 'pr': 0.23181425802754535}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 10.366338816291982, 'mrc': 0.1043279084180727, 'pd': 0.9120798619332497, 'pr': 0.08542620325530965}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 57.84411974300824, 'mrc': 0.052183237384688844, 'pd': 0.8642819070852514, 'pr': 0.26721633934597566}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 56.142788081623664, 'mrc': 0.0036582691060671915, 'pd': 0.9238917808998873, 'pr': 0.15999719363564935}, 'target': 10}.
 will to register next: {'params': {'mgs': 18.620549868836083, 'mrc': 0.033983265384542265, 'pd': 0.6736331463829082, 'pr': 0.25304624768261397}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 22.755979376429913, 'mrc': 0.1722737614213019, 'pd': 0.6428250141657603, 'pr': 0.17491818146886978}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 28.110475361900296, 'mrc': 0.06200574624811864, 'pd': 0.9686469308331938, 'pr': 0.16278333628892883}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 48.22352186461739, 'mrc': 0.17180992094942008, 'pd': 0.7369327577997773, 'pr': 0.10585620289757218}, 'target': 10}.
 will to register next: {'params': {'mgs': 5.1124674646972235, 'mrc': 0.09096466107135048, 'pd': 0.9218669655663938, 'pr': 0.15798234335764505}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 78.30148411443838, 'mrc': 0.07677572196250836, 'pd': 0.6433123205660363, 'pr': 0.2687316903978996}, 'target': 16.363636363636363}.
 will to register next: {'params': {'mgs': 15.705407378205818, 'mrc': 0.02673670838267932, 'pd': 0.8548946576893965, 'pr': 0.27545087971164117}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 18.558496501348056, 'mrc': 0.03991648636504728, 'pd': 0.9145036635496132, 'pr': 0.263380457766504}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 29.73485911989159, 'mrc': 0.020966627444126962, 'pd': 0.631442204546665, 'pr': 0.23154350646503702}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 34.67231579837406, 'mrc': 0.18343851059147812, 'pd': 0.8405677710339566, 'pr': 0.2099185622480152}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 16.738118963278986, 'mrc': 0.03853789869754847, 'pd': 0.6889327347392566, 'pr': 0.18782354836257992}, 'target': 16.363636363636363}.
 will to register next: {'params': {'mgs': 28.35434413224238, 'mrc': 0.15883294669773457, 'pd': 0.9949099647779256, 'pr': 0.13743259657071022}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 19.46155138406563, 'mrc': 0.13760467010752855, 'pd': 0.6549012180248899, 'pr': 0.18132728492762945}, 'target': 10}.
 will to register next: {'params': {'mgs': 67.49780864016398, 'mrc': 0.09813363319986833, 'pd': 0.9531998404358817, 'pr': 0.18848377914743936}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 53.07105970973729, 'mrc': 0.16484335676015477, 'pd': 0.7036303960762288, 'pr': 0.0935690411851983}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 49.20498383890247, 'mrc': 0.02765048890669706, 'pd': 0.9608180300503798, 'pr': 0.28133383137461965}, 'target': 10}.
 will to register next: {'params': {'mgs': 29.191160989909974, 'mrc': 0.006970216732153723, 'pd': 0.6110404762584605, 'pr': 0.09987305059660322}, 'target': 14.545454545454545}.
 will to register next: {'params': {'mgs': 63.11542466313757, 'mrc': 0.10612468742454376, 'pd': 0.8647671406703601, 'pr': 0.21897859065241126}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 47.12589516488585, 'mrc': 0.041364713332719516, 'pd': 0.942315552775463, 'pr': 0.1989520816200956}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 39.14854000813868, 'mrc': 0.04301192668547629, 'pd': 0.670895957016963, 'pr': 0.2719336688867508}, 'target': 10}.
 will to register next: {'params': {'mgs': 79.05128513855482, 'mrc': 0.08644923118425288, 'pd': 0.8090677592001179, 'pr': 0.12206325727316795}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 20.685121789768388, 'mrc': 0.005838180883195876, 'pd': 0.9875369391746801, 'pr': 0.09776665307169911}, 'target': 16.363636363636363}.
